trading_date,seq,code,period,source,subscription,received_at,event_time,quote.time,quote.open,quote.high,quote.low,quote.close,quote.volume,quote.amount,quote.settelementPrice,quote.settlementPrice,quote.openInterest,quote.preClose,quote.suspendFlag,quote.dr,quote.totaldr
2026-09-10,53782,000001.SZ,1m,stock,000001.SZ,1789009460851608,1789009500000000,1789009500000,11.8,11.81,11.8,11.81,1938,2288516.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,59658,000001.SZ,1m,stock,000001.SZ,1789009463824670,1789009500000000,1789009500000,11.8,11.81,11.8,11.81,2048,2418406.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,65361,000001.SZ,1m,stock,000001.SZ,1789009466823215,1789009500000000,1789009500000,11.8,11.81,11.8,11.81,2058,2430221.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,71549,000001.SZ,1m,stock,000001.SZ,1789009469913037,1789009500000000,1789009500000,11.8,11.81,11.8,11.81,2321,2740824.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,77544,000001.SZ,1m,stock,000001.SZ,1789009472817158,1789009500000000,1789009500000,11.8,11.81,11.8,11.81,2325,2745548.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,83646,000001.SZ,1m,stock,000001.SZ,1789009475818246,1789009500000000,1789009500000,11.8,11.81,11.8,11.81,2440,2881351.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,89515,000001.SZ,1m,stock,000001.SZ,1789009478838214,1789009500000000,1789009500000,11.8,11.81,11.8,11.81,2476,2923867.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,95187,000001.SZ,1m,stock,000001.SZ,1789009481824556,1789009500000000,1789009500000,11.8,11.81,11.8,11.81,2512,2966361.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,100959,000001.SZ,1m,stock,000001.SZ,1789009484828885,1789009500000000,1789009500000,11.8,11.81,11.8,11.81,2522,2978171.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,106557,000001.SZ,1m,stock,000001.SZ,1789009487879699,1789009500000000,1789009500000,11.8,11.81,11.8,11.81,2526,2982895.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,112023,000001.SZ,1m,stock,000001.SZ,1789009490819360,1789009500000000,1789009500000,11.8,11.81,11.8,11.8,2539,2998235.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,117379,000001.SZ,1m,stock,000001.SZ,1789009493816282,1789009500000000,1789009500000,11.8,11.81,11.8,11.8,2549,3010035.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,122852,000001.SZ,1m,stock,000001.SZ,1789009496818467,1789009500000000,1789009500000,11.8,11.81,11.8,11.81,2551,3012397.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,129388,000001.SZ,1m,stock,000001.SZ,1789009500246917,1789009560000000,1789009560000,11.81,11.81,11.81,11.81,0,0.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,133762,000001.SZ,1m,stock,000001.SZ,1789009502876649,1789009560000000,1789009560000,11.81,11.81,11.81,11.81,166,196046.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,139536,000001.SZ,1m,stock,000001.SZ,1789009505853946,1789009560000000,1789009560000,11.81,11.81,11.81,11.81,170,200770.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,145003,000001.SZ,1m,stock,000001.SZ,1789009508831320,1789009560000000,1789009560000,11.81,11.81,11.81,11.81,337,397996.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,150334,000001.SZ,1m,stock,000001.SZ,1789009511821281,1789009560000000,1789009560000,11.81,11.81,11.8,11.8,341,402717.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,155524,000001.SZ,1m,stock,000001.SZ,1789009514814907,1789009560000000,1789009560000,11.81,11.81,11.8,11.81,649,766462.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,161131,000001.SZ,1m,stock,000001.SZ,1789009517872965,1789009560000000,1789009560000,11.81,11.81,11.8,11.81,716,845589.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,166447,000001.SZ,1m,stock,000001.SZ,1789009520845342,1789009560000000,1789009560000,11.81,11.81,11.8,11.8,1018,1202103.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,171576,000001.SZ,1m,stock,000001.SZ,1789009523819750,1789009560000000,1789009560000,11.81,11.81,11.8,11.81,1037,1224542.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,177260,000001.SZ,1m,stock,000001.SZ,1789009526853734,1789009560000000,1789009560000,11.81,11.81,11.8,11.81,1043,1231628.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,183173,000001.SZ,1m,stock,000001.SZ,1789009529923866,1789009560000000,1789009560000,11.81,11.81,11.8,11.81,1143,1349728.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,188562,000001.SZ,1m,stock,000001.SZ,1789009532815226,1789009560000000,1789009560000,11.81,11.81,11.8,11.81,1165,1375710.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,194176,000001.SZ,1m,stock,000001.SZ,1789009535902615,1789009560000000,1789009560000,11.81,11.81,11.8,11.81,1634,1929599.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,199499,000001.SZ,1m,stock,000001.SZ,1789009538824666,1789009560000000,1789009560000,11.81,11.81,11.8,11.81,1665,1966210.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,204929,000001.SZ,1m,stock,000001.SZ,1789009541808191,1789009560000000,1789009560000,11.81,11.81,11.8,11.81,1699,2006364.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,210156,000001.SZ,1m,stock,000001.SZ,1789009544815527,1789009560000000,1789009560000,11.81,11.81,11.8,11.81,1749,2065414.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,215553,000001.SZ,1m,stock,000001.SZ,1789009547892194,1789009560000000,1789009560000,11.81,11.81,11.8,11.81,1753,2070138.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,220749,000001.SZ,1m,stock,000001.SZ,1789009550905192,1789009560000000,1789009560000,11.81,11.81,11.8,11.81,1789,2112653.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,225849,000001.SZ,1m,stock,000001.SZ,1789009553817278,1789009560000000,1789009560000,11.81,11.81,11.8,11.81,1789,2112653.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,231130,000001.SZ,1m,stock,000001.SZ,1789009556812684,1789009560000000,1789009560000,11.81,11.81,11.8,11.81,1789,2112653.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,237589,000001.SZ,1m,stock,000001.SZ,1789009560296796,1789009620000000,1789009620000,11.81,11.81,11.81,11.81,35,41335.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
2026-09-10,241919,000001.SZ,1m,stock,000001.SZ,1789009562828817,1789009620000000,1789009620000,11.81,11.81,11.8,11.8,344,406255.0,,0.0,13.0,1.3754524420028e-311,-79890295,1.0,107.62245531327493
